complaintid,citizenid,departmentid,categoryid,complaintdetails,complaintstatus,created_at
CMP00052,C0214,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-08-30 00:00:00
CMP00053,C0433,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-03-05 00:00:00
CMP00054,C0474,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-10-01 00:00:00
CMP00055,C0464,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-07-27 00:00:00
CMP00056,C0339,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-02-23 00:00:00
CMP00057,C0482,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-08-14 00:00:00
CMP00058,C0760,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-05-23 00:00:00
CMP00059,C0617,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-01-28 00:00:00
CMP00060,C0365,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-07-26 00:00:00
CMP00061,C0458,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-06-02 00:00:00
CMP00062,C0922,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-08-30 00:00:00
CMP00063,C0878,D008,CAT003,Complaint about CAT003 issue in area XYZ,Submitted,2023-08-22 00:00:00
CMP00064,C0734,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-06-10 00:00:00
CMP00065,C0286,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-04-08 00:00:00
CMP00066,C0575,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-01-07 00:00:00
CMP00067,C0595,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-02-04 00:00:00
CMP00068,C0774,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-04-24 00:00:00
CMP00069,C0459,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-07-24 00:00:00
CMP00070,C0053,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-10-17 00:00:00
CMP00071,C0750,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-05-29 00:00:00
CMP00072,C0307,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-01-26 00:00:00
CMP00073,C0071,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-06-12 00:00:00
CMP00074,C0209,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-10-23 00:00:00
CMP00075,C0918,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-05-17 00:00:00
CMP00076,C0450,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-08-31 00:00:00
CMP00077,C0244,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-01-05 00:00:00
CMP00078,C0797,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-10-18 00:00:00
CMP00079,C0374,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-10-08 00:00:00
CMP00080,C0453,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-02-03 00:00:00
CMP00081,C0794,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-10-19 00:00:00
CMP00082,C0687,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-10-21 00:00:00
CMP00083,C0566,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-08-20 00:00:00
CMP00084,C0819,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-06-14 00:00:00
CMP00085,C0389,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-07-22 00:00:00
CMP00086,C0143,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-06-10 00:00:00
CMP00087,C0465,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-03-12 00:00:00
CMP00088,C0310,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-10-07 00:00:00
CMP00089,C0720,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-09-29 00:00:00
CMP00090,C0319,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-05-27 00:00:00
CMP00091,C0066,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-05-26 00:00:00
CMP00092,C0630,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-08-20 00:00:00
CMP00093,C0450,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-04-01 00:00:00
CMP00094,C0235,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-10-26 00:00:00
CMP00095,C0940,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-05-29 00:00:00
CMP00096,C0907,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-08-30 00:00:00
CMP00097,C0506,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-04-05 00:00:00
CMP00098,C0332,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-10-25 00:00:00
CMP00099,C0391,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-06-14 00:00:00
CMP00100,C0445,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-03-12 00:00:00
CMP00101,C0689,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-04-11 00:00:00
CMP00102,C0063,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-08-11 00:00:00
CMP00103,C0117,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-03-26 00:00:00
CMP00104,C0905,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-04-01 00:00:00
CMP00105,C0471,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-01-23 00:00:00
CMP00106,C0852,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-03-06 00:00:00
CMP00107,C0793,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-08-29 00:00:00
CMP00108,C0069,D008,CAT003,Complaint about CAT003 issue in area XYZ,Submitted,2023-01-10 00:00:00
CMP00109,C0540,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-04-27 00:00:00
CMP00110,C0231,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-01-26 00:00:00
CMP00111,C0395,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-06-24 00:00:00
CMP00112,C0801,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-09-09 00:00:00
CMP00113,C0620,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-05-11 00:00:00
CMP00114,C0696,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-07-09 00:00:00
CMP00115,C0613,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-03-21 00:00:00
CMP00116,C0805,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-08-16 00:00:00
CMP00117,C0810,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-05-23 00:00:00
CMP00118,C0507,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-08-14 00:00:00
CMP00119,C0549,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-06-29 00:00:00
CMP00120,C0090,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-05-16 00:00:00
CMP00121,C0022,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-10-17 00:00:00
CMP00122,C0172,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-07-26 00:00:00
CMP00123,C0530,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-01-01 00:00:00
CMP00124,C0896,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-10-17 00:00:00
CMP00125,C0990,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-09-23 00:00:00
CMP00126,C0355,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-07-22 00:00:00
CMP00127,C0604,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-08-22 00:00:00
CMP00128,C0329,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-09-28 00:00:00
CMP00129,C0411,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-08-28 00:00:00
CMP00130,C0974,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-01-13 00:00:00
CMP00131,C0080,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-10-13 00:00:00
CMP00132,C0460,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-03-24 00:00:00
CMP00133,C0674,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-03-13 00:00:00
CMP00134,C0422,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-04-05 00:00:00
CMP00135,C0917,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-08-17 00:00:00
CMP00136,C0931,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-07-21 00:00:00
CMP00137,C0063,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-05-07 00:00:00
CMP00138,C0801,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-01-29 00:00:00
CMP00139,C0030,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-10-23 00:00:00
CMP00140,C0613,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-05-08 00:00:00
CMP00141,C0274,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-06-05 00:00:00
CMP00142,C0399,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-05-13 00:00:00
CMP00143,C0537,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-03-01 00:00:00
CMP00144,C0866,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-01-24 00:00:00
CMP00145,C0876,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-06-10 00:00:00
CMP00146,C0356,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-05-12 00:00:00
CMP00147,C0895,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-07-13 00:00:00
CMP00148,C0816,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-04-06 00:00:00
CMP00149,C0584,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-10-16 00:00:00
CMP00150,C0018,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-03-09 00:00:00
CMP00151,C0188,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-09-10 00:00:00
CMP00152,C0860,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-09-01 00:00:00
CMP00153,C0511,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-07-22 00:00:00
CMP00154,C0162,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-01-01 00:00:00
CMP00155,C0500,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-02-17 00:00:00
CMP00156,C0877,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-05-11 00:00:00
CMP00157,C0480,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-01-10 00:00:00
CMP00158,C0542,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-08-27 00:00:00
CMP00159,C0004,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-04-09 00:00:00
CMP00160,C0868,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-08-08 00:00:00
CMP00161,C0027,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-01-13 00:00:00
CMP00162,C0891,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-03-30 00:00:00
CMP00163,C0341,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-07-21 00:00:00
CMP00164,C0462,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-09-26 00:00:00
CMP00165,C0950,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-10-06 00:00:00
CMP00166,C0913,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-06-04 00:00:00
CMP00167,C0927,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-02-17 00:00:00
CMP00168,C0867,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-08-09 00:00:00
CMP00169,C0100,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-02-22 00:00:00
CMP00170,C0447,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-02-05 00:00:00
CMP00171,C0526,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-08-03 00:00:00
CMP00172,C0536,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-09-03 00:00:00
CMP00173,C0189,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-05-21 00:00:00
CMP00174,C0922,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-05-24 00:00:00
CMP00175,C0656,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-08-25 00:00:00
CMP00176,C0081,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-08-13 00:00:00
CMP00177,C0463,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-07-11 00:00:00
CMP00178,C0948,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-09-26 00:00:00
CMP00179,C0095,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-07-05 00:00:00
CMP00180,C0128,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-01-13 00:00:00
CMP00181,C0027,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-09-10 00:00:00
CMP00182,C0885,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-05-26 00:00:00
CMP00183,C0797,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-05-27 00:00:00
CMP00184,C0957,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-07-06 00:00:00
CMP00185,C0416,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-03-29 00:00:00
CMP00186,C0983,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-08-30 00:00:00
CMP00187,C0783,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-10-08 00:00:00
CMP00188,C0739,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-09-28 00:00:00
CMP00189,C0355,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-08-16 00:00:00
CMP00190,C0378,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-05-31 00:00:00
CMP00191,C0064,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-07-18 00:00:00
CMP00192,C0064,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-05-06 00:00:00
CMP00193,C0803,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-09-07 00:00:00
CMP00194,C0813,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-03-29 00:00:00
CMP00195,C0807,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-10-27 00:00:00
CMP00196,C0210,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-10-10 00:00:00
CMP00197,C0675,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-09-11 00:00:00
CMP00198,C0002,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-03-29 00:00:00
CMP00199,C0981,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-06-13 00:00:00
CMP00200,C0957,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-08-11 00:00:00
CMP00201,C1000,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-05-29 00:00:00
CMP00202,C0214,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-04-17 00:00:00
CMP00203,C0994,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-09-05 00:00:00
CMP00204,C0336,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-03-26 00:00:00
CMP00205,C0473,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-09-13 00:00:00
CMP00206,C0631,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-10-24 00:00:00
CMP00207,C0167,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-05-05 00:00:00
CMP00208,C0976,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-07-29 00:00:00
CMP00209,C0763,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-07-16 00:00:00
CMP00210,C0103,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-09-04 00:00:00
CMP00211,C0831,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-03-22 00:00:00
CMP00212,C0593,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-05-24 00:00:00
CMP00213,C0656,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-09-20 00:00:00
CMP00214,C0928,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-09-11 00:00:00
CMP00215,C0789,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-09-04 00:00:00
CMP00216,C0593,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-03-31 00:00:00
CMP00217,C0257,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-02-11 00:00:00
CMP00218,C0971,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-05-02 00:00:00
CMP00219,C0094,D008,CAT003,Complaint about CAT003 issue in area XYZ,Submitted,2023-10-20 00:00:00
CMP00220,C0944,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-07-28 00:00:00
CMP00221,C0136,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-08-25 00:00:00
CMP00222,C0937,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-10-11 00:00:00
CMP00223,C0657,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-09-14 00:00:00
CMP00224,C0500,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-10-09 00:00:00
CMP00225,C0172,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-07-17 00:00:00
CMP00226,C0603,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-01-02 00:00:00
CMP00227,C0921,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-07-21 00:00:00
CMP00228,C0079,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-02-23 00:00:00
CMP00229,C0235,D008,CAT003,Complaint about CAT003 issue in area XYZ,Submitted,2023-01-14 00:00:00
CMP00230,C0292,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-10-17 00:00:00
CMP00231,C0141,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-05-21 00:00:00
CMP00232,C0861,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-08-29 00:00:00
CMP00233,C0536,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-07-11 00:00:00
CMP00234,C0996,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-01-07 00:00:00
CMP00235,C0230,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-02-14 00:00:00
CMP00236,C0049,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-05-12 00:00:00
CMP00237,C0690,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-01-27 00:00:00
CMP00238,C0805,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-10-08 00:00:00
CMP00239,C0836,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-03-12 00:00:00
CMP00240,C0554,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-03-30 00:00:00
CMP00241,C0656,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-10-16 00:00:00
CMP00242,C0279,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-06-29 00:00:00
CMP00243,C0035,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-05-29 00:00:00
CMP00244,C0487,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-08-11 00:00:00
CMP00245,C0489,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-08-04 00:00:00
CMP00246,C0270,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-05-10 00:00:00
CMP00247,C0095,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-05-24 00:00:00
CMP00248,C0647,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-07-21 00:00:00
CMP00249,C0691,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-07-09 00:00:00
CMP00250,C0298,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-08-29 00:00:00
CMP00251,C0257,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-01-07 00:00:00
CMP00252,C0774,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-04-16 00:00:00
CMP00253,C0854,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-02-28 00:00:00
CMP00254,C0890,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-06-06 00:00:00
